objectID,name,dominantColor,gender,image
83079401001,ECCO BIOM 2.2,Black,Male,https://p3.aprimocdn.net/ecco/5ab6c088-6f5f-49ac-8899-b0a700d514a0/830794-01001-o_eCom.png
83076402415,ECCO BIOM 2.2,Blue,Male,https://p3.aprimocdn.net/ecco/b72c57c6-0d73-4c1d-859d-b01c00f40cdf/830764-02415-o_eCom.png
83076402178,ECCO BIOM 2.2,Brown,Male,https://p3.aprimocdn.net/ecco/b9b1c9ba-5c62-4acb-9983-b0c200d93676/830764-02178-o_eCom.png
83076401007,ECCO BIOM 2.2,White,Male,https://p3.aprimocdn.net/ecco/be24cbab-d197-4f93-9f41-b01c00f3ff03/830764-01007-o_eCom.png
83076401001,ECCO BIOM 2.2,Black,Male,https://p3.aprimocdn.net/ecco/8d7a8297-7285-4478-b119-b07a00df544e/830764-01001-o_eCom.png
82425456665,ECCO ULT-TRN,Green,Male,https://p3.aprimocdn.net/ecco/f5232617-b647-4a29-977d-b08a00f5f9c0/824254-56665-o_eCom.png
82425451052,ECCO ULT-TRN,Black,Male,https://p3.aprimocdn.net/ecco/bccfd779-b546-46f1-8700-b08b00fa800b/824254-51052-o_eCom.png
82425351052,ECCO ULT-TRN,Black,Female,https://p3.aprimocdn.net/ecco/6e42bc1f-39f6-4b9a-8ef1-b0c20071b216/824253-51052-o_eCom.png
82381460993,ECCO BIOM 2.1 X MOUNTAIN,Brown,Male,https://p3.aprimocdn.net/ecco/e358e6e2-a08d-4f94-9e74-b0c400c5fcb4/823814-60993-o_eCom.png
82381460770,ECCO BIOM 2.1 X MOUNTAIN,Green,Male,https://p3.aprimocdn.net/ecco/2b2af0d0-85be-4007-8893-b04600bc6394/823814-60770-o_eCom.png
82381460568,ECCO BIOM 2.1 X MOUNTAIN,Black,Male,https://p3.aprimocdn.net/ecco/fb8c5feb-931e-4126-b10a-b08c00be7723/823814-60568-o_eCom.png
